Data transakcji,Miasto/Gmina,Obręb,Zbyte prawo,Pu lokalu [m2],Pow. przynależna [m2],Pom. przynależne,Cena 1m2 bez VAT [zł],Zakt.cena bez VAT [zł],Program użytkowy,Kondygnacja,Sprzedał,Kupił
2021-05-05,Gdynia, Wielki Kack,własność-własność,70.7,4.55,komórka lokatorska,8486.56,600000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1,garderoba:1",1.0,osoba fizyczna,osoba fizyczna
2020-09-07,Gdańsk, Przymorze Małe,własność-własność,43.0,0.0,brak,8488.37,365000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",6.0,osoba fizyczna,osoba fizyczna
2020-07-08,Gdańsk, Żabianka,własność-własność,42.4,1.93,piwnica,8490.57,360000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",10.0,osoba fizyczna,osoba fizyczna
2021-06-21,Gdynia, Chylonia,własność-własność,37.1,3.3,piwnica,8490.57,315000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",5.0,osoba fizyczna,osoba fizyczna
2020-07-17,Gdańsk, Oliwa,własność-własność,47.11,3.25,piwnica,8490.77,400000.0,"pokój:3,kuchnia:1,łazienka z wc:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2021-03-02,Sopot, Sopot,spółdzielcze wł. prawo,37.09,1.0,brak,8492.86,315000.0,"pokój:2,kuchnia:1,łazienka z wc:1",4.0,osoba fizyczna,osoba fizyczna
2021-07-22,Gdańsk, Wrzeszcz,własność-własność,42.03,0.0,brak,8493.93,357000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-11-27,Gdańsk, Żabianka,własność-własność,25.9,0.0,brak,8494.21,220000.0,"pokój:1,kuchnia:1,łazienka:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2021-02-05,Gdańsk, Młyniska,własność-własność,44.5,1.95,piwnica,8494.38,378000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",10.0,osoba fizyczna,osoba fizyczna
2020-08-31,Gdańsk, Żabianka,spółdzielcze wł. prawo,41.2,1.0,brak,8495.15,350000.0,"pokój:2,kuchnia:1,łazienka z wc:1",2.0,osoba fizyczna,osoba fizyczna
2020-05-05,Gdańsk, Dolne Miasto,własność-własność,61.5,0.0,brak,8495.93,522500.0,"pokój:3,kuchnia:1,łazienka:1,wc:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2020-05-05,Gdańsk, Dolne Miasto,własność-własność,61.5,0.0,brak,8495.93,522500.0,"pokój:3,kuchnia:1,wc:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2020-07-07,Gdynia, Wielki Kack,własność-własność,50.61,2.36,piwnica,8496.34,430000.0,"pokój:1,pokój z aneksem kuchennym:1,łazienka z wc:1,garderoba:1",3.0,osoba fizyczna,osoba fizyczna
2021-02-24,Gdańsk, Chełm,własność-własność,47.07,4.76,piwnica,8497.98,400000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-08-17,Gdynia, Chylonia,własność-własność,35.300000000000004,1.72,piwnica,8498.58,300000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2021-02-26,Gdańsk, Siedlce,własność-własność,55.3,1.9,nie podano,8499.1,470000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1",6.0,osoba fizyczna,osoba fizyczna
2020-06-15,Gdańsk, Wrzeszcz,własność-własność,32.6,0.1,nie podano,8499.26,277076.0,"pokój:1,kuchnia:1,wc na półpiętrze:1",1.0,osoba fizyczna,osoba fizyczna
2020-05-21,Gdańsk, Przymorze Małe,własność-własność,37.0,0.0,brak,8500.0,314500.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-05-28,Gdańsk, Przymorze Wielkie,własność-własność,30.0,0.0,brak,8500.0,255000.0,"pokój:1,kuchnia:1,łazienka:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna przedsiębiorca
2020-07-28,Sopot, Sopot,własność-własność,74.8,0.0,brak,8500.0,635800.0,"pokój:3,kuchnia:1,łazienka z wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2021-05-12,Sopot, Sopot,spółdzielcze wł. prawo,60.0,1.0,brak,8500.0,510000.0,"pokój:3,kuchnia:1,łazienka z wc:1",3.0,osoba fizyczna,osoba fizyczna
2021-07-01,Gdańsk, Żabianka,spółdzielcze wł. prawo,62.7,1.0,brak,8500.8,533000.0,"pokój:3,kuchnia:1,łazienka z wc:1",5.0,osoba fizyczna,osoba fizyczna
2020-08-21,Gdańsk, Siedlce,własność-własność,48.23,0.0,brak,8500.93,410000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2021-06-16,Gdynia, Wielki Kack,własność-własność,64.1,4.8,piwnica,8502.34,545000.0,"pokój:3,aneks kuchenny:1,łazienka:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2020-08-13,Gdynia, Witomino Leśniczówka,własność-własność,46.15,3.06,piwnica,8503.11,392418.52,ilość izb:3,3.0,deweloper,osoba fizyczna
2021-06-18,Gdynia, Chwarzno - Wiczlino,własność-własność,74.09,0.0,brak,8503.17,630000.0,"pokój:3,pokój z aneksem kuchennym:1,łazienka:2,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-10-06,Gdańsk, Stare Przedmieście,spółdzielcze wł. prawo,38.39,0.0,brak,8504.82,326500.0,ilość izb:3,5.0,osoba fizyczna,osoba fizyczna
2021-03-01,Gdańsk, Łostowice,własność-własność,38.33,2.16,komórka lokatorska,8505.09,326000.0,"pokój:1,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",4.0,deweloper,osoba fizyczna
2020-10-07,Gdańsk, Długie Ogrody,własność-własność,52.32,0.0,piwnica,8505.35,445000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-11-06,Gdańsk, Zaspa Rozstaje,własność-własność,48.2,0.0,brak,8506.22,410000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",8.0,osoba fizyczna,osoba fizyczna
2020-11-12,Gdańsk, Zaspa Młyniec,własność-własność,48.2,2.6,piwnica,8506.22,410000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",4.0,"przeds., spółka, firma",osoba fizyczna
2020-11-12,Gdańsk, Zaspa Młyniec,własność-własność,48.2,2.6,piwnica,8506.22,410000.0,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",4.0,"przeds., spółka, firma",osoba fizyczna
2021-01-27,Gdańsk, Zaspa Rozstaje,spółdzielcze wł. prawo,48.2,1.0,nie podano,8506.22,410000.0,pokój:2,1.0,osoba fizyczna,osoba fizyczna
2021-02-05,Gdańsk, Dolne Miasto,własność-własność,77.0,0.0,brak,8506.49,655000.0,"pokój:3,kuchnia:1,łazienka z wc:1,przedpokój:1,pomieszczenie gospodarcze:1",3.0,osoba fizyczna,osoba fizyczna
2020-09-03,Gdynia, Wzgórze Św. Maksymiliana,własność-własność,71.7,0.1,nie podano,8507.67,610000.0,ilość izb:5,2.0,osoba fizyczna,osoba fizyczna
2020-10-27,Gdynia, Chwarzno - Wiczlino,własność-własność,47.01,2.57,piwnica,8508.83,400000.0,"pokój:1,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2021-06-24,Gdynia, Dąbrowa,własność-własność,34.08,1.84,piwnica,8509.39,290000.0,"pokój:2,kuchnia:1,łazienka:1,wc:1",3.0,osoba fizyczna,osoba fizyczna
2021-05-28,Gdynia, Wzgórze Św. Maksymiliana,własność-własność,55.82,1.8,piwnica,8509.49,475000.0,"pokój:3,kuchnia:1,łazienka z wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-08-04,Gdańsk, Szadółki,własność-własność,29.26,1.91,komórka lokatorska,8509.91,249000.0,"pokój:1,kuchnia:1,łazienka z wc:1,korytarz:1",1.0,osoba fizyczna,osoba fizyczna
2020-12-10,Gdynia, Kamienna Góra,własność-własność,74.61,0.0,nie podano,8510.92,635000.0,ilość izb:4,4.0,osoba fizyczna,osoba fizyczna
2020-08-20,Gdańsk, Piecki Migowo,własność-własność,57.32,7.29,komórka lokatorska,8513.61,488000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",6.0,deweloper,osoba fizyczna
2021-02-03,Gdańsk, Jasień,własność-własność,41.11,2.6,komórka lokatorska,8513.74,350000.0,"pokój:1,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2020-07-29,Gdynia, Karwiny,własność-własność,51.09,5.6,piwnica,8514.39,435000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2021-04-22,Gdynia, Grabówek,własność-własność,61.54,7.45,piwnica,8514.79,524000.0,"pokój:3,kuchnia:1,łazienka:1,wc:1,przedpokój:1,korytarz:1",3.0,osoba fizyczna,osoba fizyczna
2020-12-28,Gdańsk, Piecki Migowo,własność-własność,96.17,0.0,brak,8516.17,819000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",2.0,deweloper,osoba fizyczna
2020-05-18,Gdynia, Chylonia,własność-własność,36.4,5.0,piwnica,8516.48,310000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-06-25,Sopot, Sopot,własność-własność,68.1,999.0,brak,8516.89,580000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1,spiżarka:1,weranda:1",2.0,osoba fizyczna,osoba fizyczna
2020-12-07,Gdańsk, Długie Ogrody,własność-własność,67.6,0.0,brak,8516.9,575742.43,"pokój:2,pokój z aneksem kuchennym:1,łazienka z wc:2,przedpokój:1",1.0,deweloper,osoba fizyczna
2020-05-22,Gdańsk, Żabianka,własność-własność,31.7,999.0,piwnica,8517.35,270000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",5.0,osoba fizyczna,osoba fizyczna
2020-11-16,Gdańsk, Chełm,własność-własność,63.4,0.0,brak,8517.35,540000.0,"pokój:3,kuchnia:1,łazienka:1,wc:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2020-09-11,Gdańsk, Szadółki,własność-własność,45.2,7.3,komórka lokatorska,8517.7,385000.0,"pokój:1,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-07-15,Gdynia, Orłowo,własność-własność,56.349999999999994,55.96999999999999,"komórka lokatorska, PIWNICA",8518.19,480000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-12-11,Gdynia, Śródmieście z Portem,własność-własność,30.96,3.01,komórka lokatorska,8518.46,263731.67,"pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",2.0,deweloper,osoba fizyczna
2021-01-08,Gdańsk, Długie Ogrody,własność-własność,30.87,0.0,brak,8518.52,262966.67,"pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",2.0,deweloper,osoba fizyczna
2020-09-30,Gdańsk, Długie Ogrody,własność-własność,45.09,0.0,brak,8518.57,384102.33,"pokój:1,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",2.0,deweloper,osoba fizyczna
2020-12-30,Gdynia, Działki Leśne,własność-własność,35.8,1.6,piwnica,8519.55,305000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2020-09-18,Gdańsk, Nowy Port,własność-własność,37.56,0.0,brak,8519.7,320000.0,"pokój:2,kuchnia:1,wc:1,przedpokój:1",100.0,osoba fizyczna,osoba fizyczna
2020-11-17,Gdynia, Wzgórze Św. Maksymiliana,własność-własność,48.7,2.72,piwnica,8521.56,415000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2021-05-05,Gdynia, Oksywie,własność-własność,64.34,0.0,"MIEJSCE POSTOJOWE, piwnica",8521.7,548286.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,wc:1,przedpokój:1",3.0,deweloper,osoba fizyczna
